"V1"	"V2"
"X141217_D00390_0214_BC4UEHACXX_SQ0018"	-26.1952430025228	4.06573404350122
"X141217_D00390_0214_BC4UEHACXX_SQ0023"	-74.2813147055231	-10.5892244178188
"X141217_D00390_0214_BC4UEHACXX_SQ0024"	-30.7795348139369	-12.0681754698021
"X141217_D00390_0214_BC4UEHACXX_SQ0028"	-33.8512499061917	4.76558974711827
"X141217_D00390_0214_BC4UEHACXX_SQ0032"	-19.022219668854	19.3330490913767
"X141217_D00390_0214_BC4UEHACXX_SQ0033"	-141.886349748255	4.82871710354002
"X150226_D00390_0218_BC4TWKACXX_SQ0056"	50.4287077565581	5.59375861356136
"X150226_D00390_0218_BC4TWKACXX_SQ0057"	-1.5351417546956	19.5673111211499
"X150226_D00390_0218_BC4TWKACXX_SQ2503"	-48.7758064145063	16.983097400593
"X150226_D00390_0218_BC4TWKACXX_SQ2504"	-38.9268047130574	17.1914167145028
"X150226_D00390_0218_BC4TWKACXX_SQ2505"	-35.0001644606346	17.9422815470708
"X150226_D00390_0218_BC4TWKACXX_SQ2506"	-44.4980521267418	17.6598704423316
"X150226_D00390_0218_BC4TWKACXX_SQ2507"	-33.2359144603253	18.2419063101784
"X150226_D00390_0218_BC4TWKACXX_SQ2508"	-33.998345178269	17.5747049322
"X150320_D00390_0219_AC4TPMACXX_SQ2503"	-32.2463349742026	14.152094883957
"X150320_D00390_0219_AC4TPMACXX_SQ2504"	-37.8709054494506	14.3846502791284
"X150320_D00390_0219_AC4TPMACXX_SQ2505"	-18.5107368105844	14.6119709558873
"X150320_D00390_0219_AC4TPMACXX_SQ2506"	-32.7176134218559	15.1884900405328
"X150320_D00390_0219_AC4TPMACXX_SQ2507"	-24.649448504688	14.9515988875785
"X150320_D00390_0219_AC4TPMACXX_SQ2508"	-19.1301018484462	15.2634010330644
"X150320_D00390_0219_AC4TPMACXX_SQ2509"	-16.9956710562995	15.1606273557773
"X150320_D00390_0219_AC4TPMACXX_SQ2510"	-37.8822521953364	14.4688301276177
"X150326_D00390_0220_BC6GKKANXX_SQ2509"	9.23533680264524	15.9700234732764
"X150326_D00390_0220_BC6GKKANXX_SQ2510"	-8.9695811887788	15.6026447638333
"X150326_D00390_0220_BC6GKKANXX_SQ2511"	81.5154221979306	20.6796327324929
"X150326_D00390_0220_BC6GKKANXX_SQ2512"	67.9326786278705	18.6316039826595
"X150326_D00390_0220_BC6GKKANXX_SQ2513"	-71.5687086546664	13.7385442084997
"X150326_D00390_0220_BC6GKKANXX_SQ2514"	9.70064108574906	16.7169099758424
"X150421_D00390_0222_AC6GN0ANXX_SQ0064"	28.0710474180781	6.41873287204577
"X150421_D00390_0222_AC6GN0ANXX_SQ0066"	79.1667744371869	-21.6921646813091
"X150421_D00390_0222_AC6GN0ANXX_SQ0067"	5.4354920853431	-1.19154894897684
"X150421_D00390_0222_AC6GN0ANXX_SQ2515"	24.8677882249258	8.96239457967087
"X150421_D00390_0222_AC6GN0ANXX_SQ2516"	29.6112725464768	9.62495571988627
"X150429_D00390_0224_AC6GHKANXX_SQ0076"	20.8095721660983	5.73512743549492
"X150429_D00390_0224_AC6GHKANXX_SQ0077"	25.0974902776727	6.05059879876728
"X150429_D00390_0224_AC6GHKANXX_SQ0078"	21.8725068370044	5.62783432060678
"X150429_D00390_0224_AC6GHKANXX_SQ0079"	25.8468543287601	5.45696095889566
"X150429_D00390_0224_AC6GHKANXX_SQ2513"	18.6582218038471	21.2066663089529
"X150429_D00390_0224_AC6GHKANXX_SQ2514"	27.5200094982564	20.9852642420428
"X150429_D00390_0224_AC6GHKANXX_SQ2517"	23.5668640474271	8.7039366460247
"X150429_D00390_0224_AC6GHKANXX_SQ2518"	15.3220210073551	8.44617266313697
"X150506_D00390_0225_BC6K2RANXX_SQ0080"	21.5975431527676	6.29297422545339
"X150506_D00390_0225_BC6K2RANXX_SQ0081"	20.1852004491367	6.24845883138906
"X150506_D00390_0225_BC6K2RANXX_SQ0082"	8.03950714174163	6.22907393319816
"X150506_D00390_0225_BC6K2RANXX_SQ0083"	21.117454216012	6.22372896758314
"X150506_D00390_0225_BC6K2RANXX_SQ0084"	11.5683451375547	6.44659094002842
"X150506_D00390_0225_BC6K2RANXX_SQ0085"	9.12811057951425	6.37546913908126
"X150506_D00390_0225_BC6K2RANXX_SQ0086"	16.1594762441513	6.25578717614522
"X150506_D00390_0225_BC6K2RANXX_SQ0087"	18.41687002505	6.10501271332638
"X150515_D00390_0227_BC6JPMANXX_SQ0088"	-2.10135744164898	6.09821294796176
"X150515_D00390_0227_BC6JPMANXX_SQ0089"	-0.4308559832078	6.08208925367265
"X150515_D00390_0227_BC6JPMANXX_SQ2515"	6.30991988822649	8.92866530665983
"X150515_D00390_0227_BC6JPMANXX_SQ2516"	-10.3596533008157	8.53703807090502
"X150515_D00390_0227_BC6JPMANXX_SQ2517"	11.1029511195305	8.97260620844934
"X150515_D00390_0227_BC6JPMANXX_SQ2518"	2.9379688287087	8.84771631536349
"X150515_D00390_0227_BC6JPMANXX_SQ2519"	4.9234572185047	8.15554886736753
"X150515_D00390_0227_BC6JPMANXX_SQ2520"	-5.20619891109281	15.7277031606937
"X150612_D00390_0228_AC6JPWANXX_SQ0090"	66.7386039922275	-28.9422047734484
"X150612_D00390_0228_AC6JPWANXX_SQ0092"	25.4191595364118	5.1734944966558
"X150612_D00390_0228_AC6JPWANXX_SQ0093"	-0.758988750581826	-17.3198916697268
"X150612_D00390_0228_AC6JPWANXX_SQ0102"	-12.102497358697	4.68491275382534
"X150612_D00390_0228_AC6JPWANXX_SQ0111"	10.186016418952	5.61794073321647
"X150612_D00390_0228_AC6JPWANXX_SQ0112"	16.0341908429596	-20.1043353515624
"X150612_D00390_0228_AC6JPWANXX_SQ0113"	15.8165915606919	4.40069791248319
"X150615_D00390_0229_BC6JT1ANXX_SQ0091"	10.944710550918	-18.5246823723766
"X150615_D00390_0229_BC6JT1ANXX_SQ2519"	11.0436947763319	8.04656212290513
"X150615_D00390_0229_BC6JT1ANXX_SQ2521"	24.3966983079705	20.8160709512678
"X150615_D00390_0229_BC6JT1ANXX_SQ2522"	5.23541698430564	19.7959178886475
"X150615_D00390_0229_BC6JT1ANXX_SQ2523"	7.04851017249208	21.0880873984067
"X150615_D00390_0229_BC6JT1ANXX_SQ2524"	8.76780084741277	21.1395582828344
"X150615_D00390_0229_BC6JT1ANXX_SQ2525"	0.825164472075769	19.6069160374082
"X150615_D00390_0229_BC6JT1ANXX_SQ2526"	13.2049110970203	20.7629106636748
"X150619_D00390_0230_AC6JPUANXX_SQ0094"	-20.5716738644867	-22.9697303660967
"X150619_D00390_0230_AC6JPUANXX_SQ0095"	-25.3376188480062	-7.72972905984727
"X150619_D00390_0230_AC6JPUANXX_SQ2520"	-1.68098374857968	19.2430250174954
"X150619_D00390_0230_AC6JPUANXX_SQ2521"	25.9593347012899	20.905287516133
"X150619_D00390_0230_AC6JPUANXX_SQ2522"	12.9467976227333	20.0853212048041
"X150619_D00390_0230_AC6JPUANXX_SQ2523"	-11.6466978138528	19.9135505750397
"X150619_D00390_0230_AC6JPUANXX_SQ2524"	11.1373839192529	21.1663547581639
"X150619_D00390_0230_AC6JPUANXX_SQ2527"	4.47590959263466	19.5926003453878
"X150626_D00390_0231_BC6JT3ANXX_SQ0032"	15.8742471469972	20.652798881588
"X150626_D00390_0231_BC6JT3ANXX_SQ2525"	1.00348185307157	19.0320376017787
"X150626_D00390_0231_BC6JT3ANXX_SQ2526"	10.4423832986955	20.6819312249959
"X150626_D00390_0231_BC6JT3ANXX_SQ2527"	16.2211118967043	20.5220109740109
"X150626_D00390_0231_BC6JT3ANXX_SQ2528"	7.46821200649896	21.8593372660278
"X150626_D00390_0231_BC6JT3ANXX_SQ2529"	26.0994057069763	21.7829329893871
"X150626_D00390_0231_BC6JT3ANXX_SQ2530"	-23.6456046972511	8.33790978537615
"X150626_D00390_0231_BC6JT3ANXX_SQ2531"	-18.0982125754814	8.41557016447471
"X150630_D00390_0232_AC6K0WANXX_SQ0051"	-3.69208716922439	18.1614943610703
"X150630_D00390_0232_AC6K0WANXX_SQ0052"	21.1164939363154	18.8415477489618
"X150630_D00390_0232_AC6K0WANXX_SQ2505"	14.5098981965671	20.3068642930619
"X150630_D00390_0232_AC6K0WANXX_SQ2528"	17.383091474778	22.3301579162903
"X150630_D00390_0232_AC6K0WANXX_SQ2529"	123.375175865805	27.97633176904
"X150630_D00390_0232_AC6K0WANXX_SQ2530"	-1.85249810305659	8.40499586472308
"X150630_D00390_0233_BC6JRFANXX_SQ0096"	6.81168540236922	5.42595778993742
"X150630_D00390_0233_BC6JRFANXX_SQ2506"	12.3272434216088	19.4859806626577
"X150630_D00390_0233_BC6JRFANXX_SQ2507"	17.0448496949514	20.2419379793104
"X150630_D00390_0233_BC6JRFANXX_SQ2508"	19.7765809981729	19.9049594080772
"X150630_D00390_0233_BC6JRFANXX_SQ2509"	12.2083058763638	19.1103172712467
"X150630_D00390_0233_BC6JRFANXX_SQ2510"	14.0351600985321	19.4830072179404
"X150630_D00390_0233_BC6JRFANXX_SQ2532"	-4.61365383518865	6.04331392001646
"X150810_D00390_0234_AC6JTHANXX_SQ0097"	-2.02671117876689	5.37069857769497
"X150810_D00390_0234_AC6JTHANXX_SQ0098"	0.264972841377512	5.55132365373795
"X150810_D00390_0234_AC6JTHANXX_SQ0099"	-1.30391708177285	5.81403689060771
"X150810_D00390_0234_AC6JTHANXX_SQ0100"	7.25308127233425	5.74979184268496
"X150810_D00390_0234_AC6JTHANXX_SQ0119"	2.4341688651082	-22.8490731051765
"X150810_D00390_0234_AC6JTHANXX_SQ0120"	-15.9961196831977	-22.6459351317484
"X150810_D00390_0234_AC6JTHANXX_SQ2533"	45.8820795507716	9.74730355202579
"X150925_D00390_0235_BC6K0YANXX_SQ0105"	-19.6899366417274	-8.69828421497531
"X150925_D00390_0235_BC6K0YANXX_SQ0122"	-5.15114413441431	5.25018891673595
"X150925_D00390_0235_BC6K0YANXX_SQ0123"	2.0493066036236	5.3227315078103
"X150925_D00390_0235_BC6K0YANXX_SQ2534"	-5.08508620510708	8.85439621898917
"X150925_D00390_0235_BC6K0YANXX_SQ2535"	-10.8810710095872	8.0200959064093
"X150925_D00390_0235_BC6K0YANXX_SQ2536"	-5.78731029824666	9.29592875716375
"X150925_D00390_0235_BC6K0YANXX_SQ2537"	-7.28918586904094	7.68781239895991
"X150925_D00390_0235_BC6K0YANXX_SQ2538"	-8.64631285824778	8.96758110279612
"X151016_D00390_0236_AC6JURANXX_SQ0124"	8.45130422686435	5.51636224381031
"X151016_D00390_0236_AC6JURANXX_SQ0125"	13.8180067198904	5.43507476347598
"X151016_D00390_0236_AC6JURANXX_SQ0126"	12.6726216152095	5.54485123306866
"X151016_D00390_0236_AC6JURANXX_SQ0127"	17.4041288484374	6.02514715279359
"X151016_D00390_0236_AC6JURANXX_SQ0128"	10.6659781399913	4.78362396565587
"X151016_D00390_0236_AC6JURANXX_SQ0129"	15.5360443400188	5.65640438463891
"X151016_D00390_0236_AC6JURANXX_SQ0130"	16.4183720582098	5.96939279051321
"X151016_D00390_0236_AC6JURANXX_SQ2539"	3.99482040040643	8.13419767677665
"X151028_D00390_0238_AC805KANXX_SQ0131"	30.6120913455086	5.36837615735015
"X151028_D00390_0238_AC805KANXX_SQ0132"	35.1007612334884	5.34136762236455
"X151028_D00390_0238_AC805KANXX_SQ0133"	11.7514798600086	5.6316004913333
"X151028_D00390_0238_AC805KANXX_SQ0134"	29.0337936150343	5.39008754439946
"X151028_D00390_0238_AC805KANXX_SQ0135"	28.895272832005	5.59447106565377
"X151028_D00390_0238_AC805KANXX_SQ0136"	29.6856376262989	5.46344707692933
"X151028_D00390_0238_AC805KANXX_SQ0137"	36.6753262159868	5.15369532980466
"X151028_D00390_0238_AC805KANXX_SQ0138"	32.4899670237884	5.2407916462958
"X151113_D00390_0239_BC808AANXX_SQ0139"	34.0339136213526	5.4189752697462
"X151113_D00390_0239_BC808AANXX_SQ0140"	31.1328597319479	5.95912021812109
"X151113_D00390_0239_BC808AANXX_SQ0141"	25.8787754286151	5.77848140407969
"X151113_D00390_0239_BC808AANXX_SQ0142"	14.236735446273	5.61439004539287
"X151113_D00390_0239_BC808AANXX_SQ0143"	8.63949733849825	-14.7258209478682
"X151113_D00390_0239_BC808AANXX_SQ0144"	40.2742543973877	5.97707840486108
"X151113_D00390_0239_BC808AANXX_SQ2540"	-6.32177779029387	8.6616306971395
"X151113_D00390_0239_BC808AANXX_SQ2541"	-5.70750464914849	8.25497742843464
"X151124_D00390_0240_AC88WPANXX_SQ0145"	1.28683571066753	5.7404588865509
"X151124_D00390_0240_AC88WPANXX_SQ0146"	17.9782393487303	6.02147964980451
"X151124_D00390_0240_AC88WPANXX_SQ0147"	1.11360488323323	5.67865403603599
"X151124_D00390_0240_AC88WPANXX_SQ0148"	25.7414526503159	5.67757736031665
"X151124_D00390_0240_AC88WPANXX_SQ0149"	12.0557066125538	5.89888551116496
"X151124_D00390_0240_AC88WPANXX_SQ0151"	27.6377666113713	5.01605496767468
"X151124_D00390_0240_AC88WPANXX_SQ0152"	24.5414330902713	5.98364757962063
"X151124_D00390_0240_AC88WPANXX_SQ0153"	28.3427991527357	5.89390970548356
"X151204_D00390_0241_BC87VGANXX_SQ0150"	4.62111281781771	-13.9838097405619
"X151204_D00390_0241_BC87VGANXX_SQ0154"	3.80894973281466	5.87887952467429
"X151204_D00390_0241_BC87VGANXX_SQ0155"	13.157511418354	5.77455747999724
"X151204_D00390_0241_BC87VGANXX_SQ0156"	11.2664369245624	5.89094965959853
"X151204_D00390_0241_BC87VGANXX_SQ0157"	-14.6615059810389	5.82963335793562
"X151204_D00390_0241_BC87VGANXX_SQ0158"	10.3782641372188	5.62092423291016
"X151204_D00390_0241_BC87VGANXX_SQ0159"	22.687971520334	6.08480629518098
"X151204_D00390_0241_BC87VGANXX_SQ0161"	-3.4059345340463	-13.2148919094116
"X151211_D00390_0242_AC86V5ANXX_SQ0160"	24.2509185585095	5.94578514659214
"X151211_D00390_0242_AC86V5ANXX_SQ0162"	24.4359379121867	5.72987646846486
"X151211_D00390_0242_AC86V5ANXX_SQ0163"	28.3321971214463	5.80422762299274
"X151211_D00390_0242_AC86V5ANXX_SQ0164"	9.34917673882413	-14.0039456078076
"X151211_D00390_0242_AC86V5ANXX_SQ0165"	16.4385207588486	5.80804055264006
"X151211_D00390_0242_AC86V5ANXX_SQ0166"	22.9488985827936	5.09982418848437
"X151211_D00390_0242_AC86V5ANXX_SQ0167"	31.7583159673739	5.03051936264021
"X151211_D00390_0242_AC86V5ANXX_SQ0168"	5.71448119401379	-14.8755557362366
"X151216_D00390_0243_BC88YDANXX_SQ2542"	45.7548142496913	23.1169050923781
"X151216_D00390_0243_BC88YDANXX_SQ2543"	81.7593790961291	25.0986983835204
"X151216_D00390_0243_BC88YDANXX_SQ2544"	38.7061524075765	22.3149285428371
"X151216_D00390_0243_BC88YDANXX_SQ2545"	57.6963845555936	24.1903762287897
"X160211_D00390_0244_BC87KCANXX_SQ0169"	15.590305790377	-24.9854698414928
"X160211_D00390_0244_BC87KCANXX_SQ0175"	20.5079049065587	-15.456295822312
