"V1"	"V2"
"X141217_D00390_0214_BC4UEHACXX_SQ0018"	-92.8983055995307	0.243272387091713
"X141217_D00390_0214_BC4UEHACXX_SQ0023"	-15.2584769393644	11.1694513272296
"X141217_D00390_0214_BC4UEHACXX_SQ0024"	29.6163766100971	10.8050160871513
"X141217_D00390_0214_BC4UEHACXX_SQ0028"	-259.759547461434	5.70444200484129
"X141217_D00390_0214_BC4UEHACXX_SQ0032"	-78.3639815434529	-16.7839746681515
"X141217_D00390_0214_BC4UEHACXX_SQ0033"	-181.241949139883	2.71611718892738
"X150226_D00390_0218_BC4TWKACXX_SQ0056"	-40.4681993635077	-1.7582627541722
"X150226_D00390_0218_BC4TWKACXX_SQ0057"	-71.4866740474647	-17.2890298438882
"X150226_D00390_0218_BC4TWKACXX_SQ2503"	-110.060432612793	-13.1163238976955
"X150226_D00390_0218_BC4TWKACXX_SQ2504"	-107.414811481999	-13.5143529713024
"X150226_D00390_0218_BC4TWKACXX_SQ2505"	-99.0148316018897	-14.5107663910716
"X150226_D00390_0218_BC4TWKACXX_SQ2506"	-99.3094547418159	-14.1413764508209
"X150226_D00390_0218_BC4TWKACXX_SQ2507"	-88.6239456944258	-15.2763594872536
"X150226_D00390_0218_BC4TWKACXX_SQ2508"	-97.3228387473014	-14.1885574346262
"X150320_D00390_0219_AC4TPMACXX_SQ2503"	-153.095830798423	-8.2152504112734
"X150320_D00390_0219_AC4TPMACXX_SQ2504"	-80.9895261924733	-10.9984751849991
"X150320_D00390_0219_AC4TPMACXX_SQ2505"	-79.6872537238438	-11.2118337242852
"X150320_D00390_0219_AC4TPMACXX_SQ2506"	-89.1619729307609	-11.5695738172009
"X150320_D00390_0219_AC4TPMACXX_SQ2507"	-88.1087409474158	-11.3782628133364
"X150320_D00390_0219_AC4TPMACXX_SQ2508"	-73.801997151966	-12.1334448436791
"X150320_D00390_0219_AC4TPMACXX_SQ2509"	-69.1037292458069	-12.2834927180603
"X150320_D00390_0219_AC4TPMACXX_SQ2510"	-95.7974851575524	-10.5893208368616
"X150326_D00390_0220_BC6GKKANXX_SQ2509"	-46.8848682468118	-13.8474522896691
"X150326_D00390_0220_BC6GKKANXX_SQ2510"	-60.1611832462985	-12.9124446895893
"X150326_D00390_0220_BC6GKKANXX_SQ2511"	38.8853344325352	-22.4048376232293
"X150326_D00390_0220_BC6GKKANXX_SQ2512"	20.0385209462499	-19.1223322047629
"X150326_D00390_0220_BC6GKKANXX_SQ2513"	-93.0717504796417	-9.90902301638891
"X150326_D00390_0220_BC6GKKANXX_SQ2514"	-41.5511776108275	-14.8969900090481
"X150421_D00390_0222_AC6GN0ANXX_SQ0064"	7.90438651654996	-4.2326292957144
"X150421_D00390_0222_AC6GN0ANXX_SQ0066"	62.7984819399661	19.0463976130927
"X150421_D00390_0222_AC6GN0ANXX_SQ0067"	-59.9354439370172	4.52717649996217
"X150421_D00390_0222_AC6GN0ANXX_SQ2515"	31.7573321392258	-10.6063238442146
"X150421_D00390_0222_AC6GN0ANXX_SQ2516"	32.7896786905269	-11.3505550418134
"X150429_D00390_0224_AC6GHKANXX_SQ0076"	-40.0895008521228	-1.85947341621462
"X150429_D00390_0224_AC6GHKANXX_SQ0077"	-28.6656076923198	-2.57717609406321
"X150429_D00390_0224_AC6GHKANXX_SQ0078"	-44.8987136201674	-1.59478652573323
"X150429_D00390_0224_AC6GHKANXX_SQ0079"	-40.9703389196651	-1.46793628751047
"X150429_D00390_0224_AC6GHKANXX_SQ2513"	-39.2275299688526	-20.6796412009535
"X150429_D00390_0224_AC6GHKANXX_SQ2514"	-37.5320027718552	-20.2156348660635
"X150429_D00390_0224_AC6GHKANXX_SQ2517"	45.0312010291637	-11.4012224441708
"X150429_D00390_0224_AC6GHKANXX_SQ2518"	48.3504565688626	-11.4392572228538
"X150506_D00390_0225_BC6K2RANXX_SQ0080"	4.67917433011414	-4.07128213343084
"X150506_D00390_0225_BC6K2RANXX_SQ0081"	3.80687938938782	-3.97227660167019
"X150506_D00390_0225_BC6K2RANXX_SQ0082"	6.33995015812313	-4.12859077233673
"X150506_D00390_0225_BC6K2RANXX_SQ0083"	4.3924697907396	-3.99277633460259
