"bgisheep_agbovine_csv"	"bovinevelevetse_agbovine_csv"	"btau42_agbovine_csv"	"btau461_agbovine_csv"	"cs34_agbovine_csv"	"cs39_agbovine_csv"	"dfcibt_agbovine_csv"	"dfcioa_agbovine_csv"	"umd2_agbovine_csv"	"umd3_agbovine_csv"	"contig"	"gene_name"
"000801BAPA001152HT"	10.6627386372	18.4000872438	9.28938877863	9.24820248684	9.59213199614	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS340140060000C"	"PRL"
"000802BAPA002387HT"	9.97206669532	18.4000872438	9.28938877863	9.24820248684	9.59213199614	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS340140060000C"	"PRL"
"000801BAPA001037HT"	9.97206669532	18.4000872438	9.28938877863	9.24820248684	9.59213199614	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS340140060000C"	"PRL"
"000802BAPA002789HT"	13.5887380558	18.4000872438	12.0919427144	12.5797166306	14.5751255708	8.65407533266	14.7688267648	8.74056167031	12.096116153	12.095014839	"200905CS340140060000C"	"PRL"
"000802BAPA002347HT"	9.97206669532	18.4000872438	9.28938877863	9.24820248684	9.59213199614	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS340140060000C"	"PRL"
"000802BAPA001759HT"	10.6627386372	18.4000872438	9.28938877863	9.24820248684	9.59213199614	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS340140060000C"	"PRL"
"000802BAPA002640HT"	9.97206669532	18.4000872438	9.28938877863	9.24820248684	9.59213199614	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS340140060000C"	"PRL"
"000802BAPA001609HT"	9.97206669532	18.4000872438	9.28938877863	9.24820248684	17.5751255708	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS3401400600003"	"PRL"
"000802BAPA001899HT"	10.6627386372	18.4000872438	9.28938877863	9.24820248684	9.59213199614	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS340140060000C"	"PRL"
"000801BAPA001222HT"	9.97206669532	18.4000872438	9.28938877863	9.24820248684	9.59213199614	8.65407533266	9.30939514616	8.74056167031	9.31714303232	9.31604171833	"200905CS340140060000C"	"PRL"
